"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Late Pleistocene river deposits","gravel","Q2al","River gravel and sand deposits"," ","06_alluvium"
"Middle Pleistocene lake deposits","silt","Q7k","Lake silts in the Murchison area","lake deposits","08_lacustrine"
"Middle Pleistocene lake deposits","silt","Q7k","Lake silts in the Murchison area"," ","08_lacustrine"
"Basement (Eastern Province) sedimentary rocks","sandstone","Tt","Alternating sandstone and mudstone; poorly bedded sandstone with minor coloured mudstone; conglomerate; basalt; chert","Rakaia terrane","15_undifSed"
"Late Pleistocene glacier deposits","gravel","Q2t","Poorly sorted till","glacial deposits","14_moraineTill"
"Basement (Paparoa Batholith) igneous rocks","granite","Krgbu","White medium-grained biotite-muscovite granite; locally foliated","Rahu Suite granite","18_crystalline"
"Early Cretaceous sedimentary rocks","conglomerate","eKpoh","Breccia-conglomerate composed of varying proportions of granitoid rocks and Greenland Group","Hawks Crag Breccia","15_undifSed"
"Late Pleistocene shoreline deposits","gravel","Q5b","Beach deposits consisting of marine gravel with sand; commonly underlying loess and fan deposits","beach deposits","09_beachBarDune"
"Paleogene - Neogene sedimentary rocks","mudstone","Om","Massive calcareous mudstone; with inter-bedded calcareous sandstone and mudstone","Matiri Formation","15_undifSed"
"Basement (Median Batholith) metamorphic rocks","gneiss","Tar","Foliated quartz-feldspar-biotite gneiss.","Rotoiti Gneiss","18_crystalline"
"Neogene sedimentary rocks","conglomerate","Mmc","Conglomerate, sandstone and mudstone in graded beds.","undiff. Mangles Formation","15_undifSed"
"Basement (Paparoa Batholith) igneous rocks","diorite","Krtrq","Dark; medium-grained foliated biotite tonalite","Rahu Suite diorite","18_crystalline"
"Middle Pleistocene river deposits","gravel","Q7al","River gravel and sand often with weathered clasts"," ","06_alluvium"
"Basement (Median Batholith) igneous rocks","migmatite","Jram","Gneissic mafic to leucocratic diorite, quartz diorite, microdiorite and trondjhemite, locally migmatitic.","Braeburn Diorite","18_crystalline"
"Basement (Eastern Province) melange","sandstone","Ttm","Deformed sandstone, mudstone, coloured mudstone, chert, and basalt occurring in broken formation and melange","Rakaia terrane","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","lKc","Moderately indurated conglomerate, sandstone, siltstone and mudstone","undiff. Coverham Group","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q9al","River gravel and sand usually with cemented clasts"," ","06_alluvium"
"Early Pleistocene glacier deposits","gravel","eQt","Weathered and locally cemented till","glacial deposits","14_moraineTill"
"Late Cretaceous igneous rocks","basalt","lKwl","Pebble conglomerate and coal measures overlain by trachybasalt and trachyandesite flows; volcanic conglomerates, sandstone and l","Lookout Formation","18_crystalline"
"Neogene sedimentary rocks","conglomerate","eMbr","Fluvial sandstone; conglomerate and lensoid coal seams","Rotokohu Coal Measures","05_fluvialEstuarine"
"Early Cretaceous sedimentary rocks","conglomerate","eKpo","Fluvial conglomerate and sandstone; locally hematitic","Pororari Group","05_fluvialEstuarine"
"Basement (Eastern Province) metamorphic rocks","semischist","Tt2a","Thick poorly bedded sandstone and well bedded alternating sandstone/mudstone with incipient-prominent cleavage","Rakaia terrane","18_crystalline"
"Early Cretaceous sedimentary rocks","tuff","eKpos","Rhyolitic tuff","Stitts Tuff Member","15_undifSed"
"Basement (Paparoa Batholith) igneous rocks","granite","Ckgwp","Bioitite granite with large K-feldspar megacrysts","Karamea Suite granite","18_crystalline"
"Late Cretaceous sedimentary rocks","sandstone","lKyp","Glauconitic, bioturbated, fine to medium-grained, graded-bedded sandstone","Paton Formation","15_undifSed"
"Paleogene sedimentary rocks","limestone","PaEza","Pale, creamy, hard, siliceous, micritic limestone locally interbedded with siltstone, marl, sandstone, chert or greensand; local","Amuri Formation","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Ktph","Hornfelsed sandstone and mudstone close to the Tapuae-O-Uenuku intrusion","Pahau hornfelsed","15_undifSed"
"Late Cretaceous igneous rocks","basalt","Ki","Undifferentiated mafic igneous rock.","undiff. igneous","18_crystalline"
"Basement (Eastern Province) igneous rocks","basalt","Yb","Undifferentiated mafic volcanic flows, interbedded tuff, volcaniclastic sandstone and siltstone, and breccia","undiff. Brook Street Volcanics G","18_crystalline"
"Late Pleistocene river deposits","gravel","Q3af","Poorly sorted steep fan gravel deposits","fan deposits","10_fan"
"Basement (Paparoa Batholith) igneous rocks","granite","Dkgok","Coarse-grained foliated biotite-muscovite granite-gneiss","Karamea Suite granite","18_crystalline"
"Paleogene igneous rocks","basalt","Ezg","Intrusive and extrusive igneous rocks, including dikes, flows, sills, pillow lavas and agglomerate of peridotite, gabbro, doleri","Grasseed Volcanics","18_crystalline"
"Neogene sedimentary rocks","siltstone","Mnw","Massive to poorly-bedded, bluish-grey calcareous silty mudstone; in the north includes lenses of poorly-sorted pebble to boulder","Waima Formation","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","semischist","Tt2b","Semischistose sandstone and mudstone; moderately-strongly transposed with well developed cleavage/foliation; locally folded","Rakaia terrane","18_crystalline"
"Late Cretaceous sedimentary rocks","chert","lKzm","Strongly indurated, greenish-grey, micritic limestone, calcareous mudstone and black siliceous chert","Mead Hill Formation","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q6af","River gravel and sand"," ","06_alluvium"
"Late Pleistocene - Holocene river deposits","gravel","Q2al_1al","Poorly to moderately sorted gravel with minor sand or silt underlying terraces, includes minor fan gr","alluvial deposits","06_alluvium"
"Paleogene - Neogene sedimentary rocks","limestone","Olnw","Limestone and calcareous mudstone with basal greensand.","Weka Pass Stone","15_undifSed"
"Basement (Karamea Batholith) igneous rocks","granite","Dkgos","Biotite granite locally with megacrystic Kfeldspar.","Karamea Suite granite","18_crystalline"
"Basement (Western Province) metamorphic rocks","paragneiss","Ogp","Biotite- garnet gneiss derived from Greenland Group sediments","Pecksniff Paragneiss","18_crystalline"
"Late Pleistocene glacier deposits","gravel","Q2t","Till"," ","14_moraineTill"
"Neogene sedimentary rocks","conglomerate","eMrl","Muddy sandstone and conglomerate containing indurated volcanogenic sandstone clasts","lower Rappahannock Group","15_undifSed"
"Basement (Paparoa Batholith) igneous rocks","granite","Krg","Biotite or muscovite-biotite granite","Rahu Suite granite","18_crystalline"
"Basement (Western Province) igneous rocks","granite","Krg","Biotite or muscovite-biotite granite","Rahu Suite granite","18_crystalline"
"Paleogene sedimentary rocks","sandstone","Ers","Shallow marine sand and sandstone"," ","15_undifSed"
"Paleogene igneous rocks","basalt","Ezg_","Intrusive and extrusive igneous rocks, including dikes, flows, sills, pillow lavas and agglomerate of peridotite, gabbro, doleri","undifferentiated Eocene","18_crystalline"
"Late Cretaceous sedimentary rocks","siltstone","lKhn","Faintly-bedded, purple-brown siltstone to very fine sandstone, commonly glauconitic and burrowed","Nidd Formation","15_undifSed"
"Late Cretaceous sedimentary rocks","siltstone","lKcw","Moderately indurated, mildly deformed conglomerate and siltstone","Winterton Formation","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","lKcs","Mass flow conglomerate, siltstone and mudstone; sandstone and interbedded sandstone and mudstone","Split Rock Formation","15_undifSed"
"Early Pleistocene shoreline deposits","sand","eQb","Weathered and locally cemented marine sand and gravel"," ","15_undifSed"
"Late Cretaceous sedimentary rocks","conglomerate","lKhb","Poorly-sorted, clast-supported conglomerate, pebbly mudstone, sandstone and alternating sandstone-siltstone","Burnt Creek Formation","15_undifSed"
"Neogene sedimentary rocks","gravel","Pom","Weathered gravel; with clasts predominantly of  Torlesse sandstone or schist","Old Man Group","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pbw","Fluviatile sandstone; estuarine mudstone and minor conglomerate"," ","15_undifSed"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Dkt","White coarse-grained biotite granodiorite and tonalite","Karamea Suite tonalite/granodior","18_crystalline"
"Late Cretaceous sedimentary rocks","sandstone","lKcg","Indurated conglomerate, sandstone, siltstone and mudstone","Gladstone Formation","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","mudstone","Ttv","Basalt as flows and rarely with pillow form, commonly occuring with coloured mudstone and altered tuff.","Rakaia terrane","15_undifSed"
"Basement (Paparoa Batholith) igneous rocks","granite","Krgbl","White medium-grained muscovite-biotite granite","Rahu Suite granite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Krdto","Hornblende diorite","Rahu Suite diorite","18_crystalline"
"Middle Pleistocene glacier deposits","gravel","Q8t","Till often with weathered clasts"," ","14_moraineTill"
"Basement (Eastern Province) metamorphic rocks","metaconglomerate","Ttc2a","Weakly foliated metaconglomerate and schist","Rakaia terrane","18_crystalline"
"Early Cretaceous sedimentary rocks","sandstone","lKcc","Torlesse-derived conglomerate, sandstone and mudstone; in general highly deformed","Champagne Formation","15_undifSed"
"Early Cretaceous igneous rocks","pyroxenite","Kit","Layered pyroxenite-peridotite-anorthosite-gabbro-syenite; upper part intruded by syenite sills and dikes.","Tapuaenuku Igneous Complex","18_crystalline"
"Early Pleistocene river deposits","gravel","eQaf","Poorly sorted, weathered steep fan gravel deposits","fan deposits","10_fan"
"Basement (Karamea Batholith) igneous rocks","granite","Dkgcr","Coarse-grained variably foliated porphyritic biotite granite","Karamea Suite granite","18_crystalline"
"Late Cretaceous sedimentary rocks","chert","lKzm_","Strongly indurated, greenish-grey, micritic limestone, calcareous mudstone and black siliceous chert","undifferentiated late Early and","15_undifSed"
"Middle Pleistocene glacier deposits","gravel","Q6t","Till; slightly weathered in some localities"," ","14_moraineTill"
"Basement (Paparoa Batholith) igneous rocks","granodiorite","Krtst","Dark grey coarse-grained biotite granodiorite; weakly foliated","Rahu Suite granite","18_crystalline"
"Holocene glacier deposits","gravel","Q1r","Rock glacier deposits in high alpine areas of the Kaikoura ranges","rock glacier","15_undifSed"
"Basement (Median Batholith) igneous rocks","granite","Kgwg","Hornblende-biotite granite with minor two-pyroxene dioritic granulite.","Glenroy Complex","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","metaconglomerate","Ttc2b","Schistose metaconglomerate and schist","Rakaia terrane","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Ksdmc","Coarse-grained foliated hornblende-biotite granodiorite with large pink K-feldspar megacrysts","Separation Point Suite diorite","18_crystalline"
"Holocene glacier deposits","gravel","Q1t","Recent till","glacial deposits","14_moraineTill"
"Neogene sedimentary rocks","conglomerate","eMrl","Muddy sandstone and conglomerate containing indurated volcanogenic sandstone clasts","Lower Rappahannock Group","15_undifSed"
"Early Pleistocene glacier deposits","gravel","eQt","Weathered and locally cemented till"," ","14_moraineTill"
"Neogene sedimentary rocks","mudstone","eMbw","Grey-brown calcareous mudstone","Welsh Formation","15_undifSed"
"Basement (Western Province) igneous rocks","granite","Dkgrj","Leucocratic muscovite granite","Karamea Suite granite","18_crystalline"
"Basement (Eastern Province) igneous rocks","basalt","Yl","Undifferentiated basalt and gabbro","undiff. Livingston Volcanics Gro","18_crystalline"
"Middle Pleistocene glacier deposits","gravel","Q10t","Till containing weathered clasts"," ","14_moraineTill"
"Basement (Eastern Province) metamorphic rocks","schist","Tt3","Schist derived from quartzofeldspathic sandstone and mudstone","Rakaia terrane","18_crystalline"
"Late Cretaceous sedimentary rocks","sandstone","lKy_","Fine-grained sandstone, commonly sulphurous muddy siltstone, conglomerate, micritic limestone and turbidites.","undifferentiated late Early and","15_undifSed"
"Basement (Karamea Batholith) igneous rocks","granite","Dkgmo","Fine-medium-grained weakly foliated muscovite-biotite granite","Karamea Suite granite","18_crystalline"
"Basement (Paparoa Batholith) igneous rocks","diorite","Kstfa","Fine-grained muscovite-biotite granodiorite","Separation Point Suite granodior","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","schist","Ya3","Incipiently segregated schist derived from quartzofeldspathic sandstone and mudstone; greenschist and metachert","Aspiring lithological assoc.","18_crystalline"
"Holocene human-made deposits","gravel","Q1n","Dredge tailings; sluiced ground; and other man-made sediments"," ","04_fill"
"Late Cretaceous sedimentary rocks","sandstone","lKw","Conglomerate, sandstone, siltstone and coal measures; basalt and volcanogenic conglomerate","undiff. Wallow Group","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","lKwb_","Thick-bedded sandstone, alternating sandstone and mudstone, conglomerate and massive sandstone; locally carbonaceous","undifferentiated late Early and","15_undifSed"
"Basement (Median Batholith) metamorphic rocks","paragneiss","Kgdc","Garnet-biotite-sillimanite-kyanite paragneiss.","Glenroy Complex","18_crystalline"
"Basement (Eastern Province) igneous rocks","basalt","Tev","Basalt as flows and rarely with pillow form, commonly occuring with coloured mudstone and altered tuff.","Esk Head belt","18_crystalline"
"Late Cretaceous sedimentary rocks","sandstone","Kpc","Fluvial sandstone; conglomerate and coal seams; locally with thick lacustrine mudstone","Paparoa Coal Measures","05_fluvialEstuarine"
"Neogene sedimentary rocks","siltstone","Plu","Blue-grey calcareous siltstone and sandstone with Torlesse-derived debris-flow conglomerate","Whanganui Siltstone","15_undifSed"
"Late Cretaceous sedimentary rocks","sandstone","lKwb","Thick-bedded sandstone, alternating sandstone and mudstone, conglomerate and massive sandstone; locally carbonaceous","Bluff Sandstone","15_undifSed"
"Basement (Western Province) igneous rocks","granite","Dkgme","Light grey medium-grained muscovite-biotite granite with large Kspar megacrysts","Karamea Suite granite","18_crystalline"
"Middle Pleistocene shoreline deposits","gravel","Q7b","Marine sand and gravel","beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","conglomerate","mMru","Conglomerate composed largely of schist clasts","Upper Rappahannock Group","15_undifSed"
"Basement (Western Province) sedimentary rocks","sandstone","Top","Volcaniclastic sandstone with minor conglomerate","Topfer Formation","15_undifSed"
"Basement (Western Province) igneous rocks","basalt","Jkd","Clinopyroxene-orthopyroxene basalt and dolerite","Kirwans Dolerite","18_crystalline"
"Basement (Western Province) metamorphic rocks","quartzite","De","Quartzite; shale and limestone; locally fossiliferous","Reefton Group","18_crystalline"
"Late Cretaceous sedimentary rocks","sandstone","lKcs_","Mass flow conglomerate, siltstone and mudstone; sandstone and interbedded sandstone and mudstone","undifferentiated late Early and","15_undifSed"
"Late Cretaceous igneous rocks","basalt","lKwg_","Dikes, sills, flows and pillows of basalt; volcanogenic conglomerate and breccia","undifferentiated late Early and","18_crystalline"
"Late Cretaceous sedimentary rocks","sandstone","lKw_","Conglomerate, sandstone, siltstone and coal measures; basalt and volcanogenic conglomerate","undifferentiated late Early and","15_undifSed"
"Basement (Karamea Batholith) igneous rocks","tonalite","Cktmr","White medium-coarse-grained biotite granodiorite-granite","Karamea Suite","18_crystalline"
"Early Cretaceous sedimentary rocks","sandstone","eKpou","Fluviatile feldspathic sandstone; carbonaceous siltstone; conglomerate; breccia","Pororari Group (upper)","15_undifSed"
"Early Cretaceous sedimentary rocks","breccia","eKpol","Sandstone breccia; alternating sandstone and mudstone; and laminated carbonaceous mudstone'","Pororari Group (lower)","15_undifSed"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Dktts","Hornblende diorite","Karamea Suite","18_crystalline"
"Holocene hill slope deposits","gravel","Q1l","Postglacial landslide debris"," ","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","metaconglomerate","Ttc3","Weakly foliated metaconglomerate and schist","Rakaia terrane","18_crystalline"
"Basement (Western Province) metamorphic rocks","paragneiss","Ogv","Biotite- garnet gneiss derived from Greenland Group sediments","Victoria Paragneiss","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Krttk","Grey-white fine-medium-grained biotite granodiorite","Rahu Suite diorite","18_crystalline"
"Paleogene igneous rocks","basalt","Olnc_","Plugs, flows, pillows, dikes and sills of basalt; breccia, volcaniclastic sandstone and interbedded tuff","undifferentiated Oligocene","18_crystalline"
"Paleogene sedimentary rocks","limestone","Olnw_","Limestone and calcareous mudstone with basal greensand.","undifferentiated Oligocene","15_undifSed"
"Basement (Karamea Batholith) igneous rocks","granite","Dkgmc","Brown-grey muscovite-biotite granite","Karamea Suite granite","18_crystalline"
"Basement (Western Province) igneous rocks","granite","Dkgok","Coarse-grained foliated biotite-muscovite granite-gneiss","Karamea Suite granite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Krgdr","White; medium-grained muscovite granite; locally garnetiferous","Rahu Suite granite","18_crystalline"
"Late Pleistocene glacier deposits","gravel","Q4t","Till"," ","14_moraineTill"
"Late Cretaceous igneous rocks","basalt","lKwg","Dikes, sills, flows and pillows of basalt; volcanogenic conglomerate and breccia","Gridiron Formation","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Ksgdr","White medium-grained muscovite granite; locally garnetiferous","Separation Point Suite granite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Krgmr","White coarse-grained; variably foliated porphyritic biotite granite","Rahu Suite granite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Krgba","Light medium-grained 2-mica granite; locally garnetiferous","Rahu Suite granite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Krtrp","White medium-grained biotite granodiorite; rare hornblende","Rahu Suite diorite","18_crystalline"
"Paleogene sedimentary rocks","limestone","Eza","Pale, creamy, hard, siliceous, micritic limestone locally interbedded with siltstone, marl, sandstone, chert or greensand; local","Amuri Formation","15_undifSed"
"Basement (Western Province) igneous rocks","granite","Dkgba","Light pink medium-grained biotite granite","Karamea Suite granite","18_crystalline"
"Basement (Western Province) sedimentary rocks","sandstone","Chr","Dolomitic mudstone and ankeritic sandstone, with local conglomerate beds.","Haupiri Group","15_undifSed"
"Basement (Western Province) sedimentary rocks","conglomerate","Cha","Polymict pebble conglomerate","Haupiri Group","15_undifSed"
"Basement (Western Province) sedimentary rocks","sandstone","Chr","Ankeritic sandstone and dolomite; with local conglomerate beds","Haupiri Group","15_undifSed"
"Basement (Western Province) metamorphic rocks","sandstone","Ob","Quartz sandstone; shale and phyllite","Golden Bay Group","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","diorite","Ckd","Hornblende-biotite quartz diorite","Karamea Suite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Kdgro","White coarse-grained biotite granite","Darran Suite granite","18_crystalline"
"Late Cretaceous sedimentary rocks","sandstone","lKww","Moderately indurated sandstone, siltstone, minor conglomerate lenses, thin coal measures and lake sediments","Warder Formation","15_undifSed"
"Basement (Western Province) metamorphic rocks","conglomerate","Cdk","Greenschist and volcanic conglomerate","Devil River Volcanics Group","18_crystalline"
"Basement (Western Province) sedimentary rocks","siltstone","Chh","Dolomitic mudstone and sandstone with interbedded felsic volcanic rocks.","Haupiri Group","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Tt","Thick; poorly bedded sandstone; and well bedded alternating sandstone/mudstone; coloured mudstone; locally as broken fm","Rakaia terrane","15_undifSed"
"Basement (Western Province) sedimentary rocks","shale","Omw","Dark shale with scattered quartzite beds","Alfred Formation","15_undifSed"
"Neogene sedimentary rocks","sandstone","lMbf","Local fluviatile sandstone and coal seams"," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","lMPbe","Blue-grey; micaceous muddy fine sandstone","Eight Mile Formation","15_undifSed"
"Basement (Western Province) sedimentary rocks","siltstone","Chh","Siltstone and sandstone with interbedded felsic volcanic rocks","Haupiri Group","15_undifSed"
"Basement (Karamea Batholith) igneous rocks","diorite","Ksy","Mylonitised granitoid rocks (mostly Macey Granodiorite)","Separation Point Suite diorite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Dkgha","White medium-coarse-grained foliated biotite-garnet granite","Karamea Suite granite","18_crystalline"
"Paleogene sedimentary rocks","limestone","Onc","Muddy micritic limestone","Cobden Limestone","15_undifSed"
"Late Cretaceous sedimentary rocks","conglomerate","lKhb_","Poorly-sorted, clast-supported conglomerate, pebbly mudstone, sandstone and alternating sandstone-siltstone","undifferentiated late Early and","15_undifSed"
"Holocene lake deposits","silt","Q1k","Lake silts"," ","08_lacustrine"
"Basement (Western Province) metamorphic rocks","limestone","Oms","Grey limestone","Sluice Box Limestone","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Ksgdg","Medium-grained biotite granite","Separation Point Suite granite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Dkgax","Brownish-white foliated muscovite-biotite granite","Karamea Suite granite","18_crystalline"
"Early Cretaceous sedimentary rocks","sandstone","eKpob","Grey sandstone with carbonaceous lenses","Brown Grey Red-Green Formation","15_undifSed"
"Basement (Western Province) metamorphic rocks","orthogneiss","Dog","Undifferentiated K-feldspar- biotite orthogneiss"," ","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granite","Krm","Leucocratic muscovite granite","Rahu Suite granite","18_crystalline"
"Basement (Karamea Batholith) igneous rocks","granodiorite","Krt","Biotite granodiorite or tonalite","Rahu Suite tonalite/granodiorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","Jddlo","Biotite-hornblende diorite","Darran Suite diorite","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","serpentinite","Yau3","Serpentinite and gabbro; metamorphosed with pelitic; psammitic and metabasite schist","Pounamu Ultramafics","18_crystalline"
"Basement (Western Province) sedimentary rocks","sandstone","Ch","Ankeritic sandstone and dolomitic mudstone; with conglomerate and interbedded felsic volcanics","Haupiri Group","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pomc","Glauconitic and feldspathic sandstone; thin coal seams; and fluvial conglomerate containing largely Torlesse clasts"," ","05_fluvialEstuarine"
"Basement (Karamea Batholith) igneous rocks","granite","Ksg","Biotite or hornblende-biotite granite","Separation Point Suite granite","18_crystalline"
"Paleogene sedimentary rocks","mudstone","Onp","Grey-brown calcareous mudstone","Elizabeth Member","15_undifSed"
"Holocene swamp deposits","peat","Q1as_1al","Swamp deposits consisting of poorly  consolidated sand mud and peat","swamp deposits","01_peat"
"Late Pleistocene shoreline deposits","gravel","Q4b","Beach deposits consisting of marine gravel with sand; commonly underlying loess and fan deposits","beach deposits","09_beachBarDune"
"Neogene sedimentary rocks","calcareous mudstone","mMbs","Grey calcareous mudstone","Stillwater Mudstone","15_undifSed"
"Basement (Western Province) metamorphic rocks","paragneiss","Opg","Undifferentiated biotite-garnet paragneiss"," ","18_crystalline"
"Holocene hill slope deposits","boulders","Q1l_1al","Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix","landslide deposits","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","mylonite","YTm","Schist-derived mylonite; cataclasite; and fault breccia close to the Alpine Fault"," ","18_crystalline"
"Late Cretaceous sedimentary rocks","siltstone","lKwb_","Undifferentiated siltstone, sandstone, and conglomerate; includes Whangai and Bluff formations.","Bluff Sandstone and undifferenti","15_undifSed"
"Paleogene igneous rocks","basalt","Olnc","Plugs, flows, pillows, dikes and sills of basalt; breccia, volcaniclastic sandstone and interbedded tuff","Cookson volcanics","18_crystalline"
"Holocene hill slope deposits","gravel","Q1s","Postglacial scree deposits"," ","15_undifSed"
"Neogene sedimentary rocks","siltstone","Png","Fine-grained siltstone; poorly bedded marine, deltaic and terrestrial mudstone, sandstone and conglomerate","Greta Formation","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","schist","Tt4","Schist derived from quartzofeldspathic sandstone and mudstone","Rakaia terrane","18_crystalline"
"Basement (Eastern Province) metamorphic rocks","schist","Ya4","Well segregated schist derived from quartzofeldspathic sandstone and mudstone; greenschist and metachert","Aspiring lithological assoc.","18_crystalline"
"Late Cretaceous - Paleogene sedimentary rocks","sandstone","lKEe","Undifferentiated sandstone and siltstone, commonly glauconitic and slightly calcareous with conglomerate and pebbly sandstone.","undifferentiated Eyre Group","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","siltstone","lKe","Massive, grey, fine-grained siltstone to very fine sandstone; large concretions common","lower Eyre Group","15_undifSed"
"Basement (Eastern Province) metamorphic rocks","serpentinite","Yau4","Serpentinite and gabbro; metamorphosed with pelitic; psammitic and metabasite schist","Pounamu Ultramafics","18_crystalline"
"Paleogene sedimentary rocks","limestone","Olni","Limestone and calcareous mudstone with basal greensand.","Isolated Hill Limestone","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","sandstone","PaEe","Greenish, glauconitic sandstone, sandy  mudstone, siltstone and quartzose sandstone.","Eyre Group","15_undifSed"
"Neogene sedimentary rocks","sandstone","Mn","Undifferentiated sandstone and siltstone, includes Mt Brown and Waikari formations.","undifferentiated Motunau Group","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","mudstone","Ttv","Thin to thick bedded coloured mudstone; minor basalt; with alternating sandstone and mudstone; locally as broken formation","Rakaia terrane","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q9b","Beach deposits consisting of marine gravel with sand; commonly underlying loess and fan deposits","beach deposits","09_beachBarDune"
"Paleogene igneous rocks","basalt","Olnc_","Plugs, flows, pillows, dikes and sills of basalt; breccia, volcaniclastic sandstone and interbedded tuff","Cookson volcanics","18_crystalline"
"Basement (Western Province) metamorphic rocks","paragneiss","Sf","Paragneiss; metabasite; migmatite; gneissic granite; granodiorite; and tonalite; intruded by basaltic","Fraser Complex","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","Te","Indurated sandstone & mudstone with minor broken formation and melange; rare basalt, red mudstone, chert & limestone","Esk Head belt","15_undifSed"
"Basement (Hohonu Batholith) igneous rocks","granodiorite","Krtjc","Medium-grained biotite granodiorite and granite; few megacrysts of white K-feldspar","Rahu Suite diorite","18_crystalline"
"Basement (Hohonu Batholith) igneous rocks","granite","Krgpp","Orange-brown coarse-grained biotite monzogranite with large K-feldspar megacrysts","Rahu Suite granite","18_crystalline"
"Paleogene sedimentary rocks","limestone","Olnt","Limestone and calcareous mudstone with basal greensand.","Tekoa Limestone","15_undifSed"
"Paleogene sedimentary rocks","limestone","Olni_","Limestone and calcareous mudstone with basal greensand.","undifferentiated Oligocene","15_undifSed"
"Basement (Eastern Province) melange","sandstone","Tem","Deformed bedded sandstone & mudstone, commonly as broken fmn or melange with exotic blocks of basalt, chert, red mst & limestone","Esk Head belt","15_undifSed"
"Paleogene sedimentary rocks","basalt","OlncOlni","Undifferentiated limestone, basalt, breccia, tuff and sandstone","undiff. Isolated Hill Limestone","15_undifSed"
"Basement (Hohonu Batholith) igneous rocks","granodiorite","Krtde","Coarse-grained biotite-hornblende granodiorite with large Kspar megacrysts","Rahu Suite diorite","18_crystalline"
"Basement (Hohonu Batholith) igneous rocks","granodiorite","Krt","Biotite granodiorite or tonalite","Rahu Suite tonalite/granodiorite","18_crystalline"
"Basement (Hohonu Batholith) igneous rocks","granite","Krgtk","White; coarse-grained biotite-muscovite monzogranite with K-feldspar megacrysts","Rahu Suite granite","18_crystalline"
"Basement (Hohonu Batholith) igneous rocks","granite","Kfgfg","Red syenogranite","French Creek Granite","18_crystalline"
"Neogene sedimentary rocks","siltstone","Mnk","Calcareous, glauconitic siltstone, massive, blue-grey siltstone, and bedded, yellow-brown sandstone","Waikari Formation","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Tt1","Well indurated, massive or bedded, greywacke sandstone & argillitic mudstone/siltstone; minor conglomerate/chert/volcanics; TZ1","Rakaia TZ1 greywacke","15_undifSed"
"Basement (Eastern Province) melange","melange","Tem","Deformed bedded sandstone & mudstone, commonly as broken fmn or melange with exotic blocks of basalt, chert, red mst & limestone","Esk Head melange","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Te","Thick; poorly bedded sandstone; minor mudstone minor broken formation and melange","Esk Head belt","15_undifSed"
"Neogene sedimentary rocks","sandstone","Mnb","Siltstone, sandstone and bioclastic limestone with interbedded debris flow conglomerate","Mount Brown Formation","15_undifSed"
